CUSTOMER_ID,FIRST_NAME,LAST_NAME,SSN_HASH,DATE_OF_BIRTH,CUSTOMER_SEGMENT,RISK_RATING,REGION_CODE,PRIMARY_EMAIL,PHONE_NUMBER
C0000001,Linda,Lopez,a47401f094a96eef71465948a306129a,12AUG1958,SMB,5,MW,linda.lopez1@example.com,555-943-3892
C0000002,Thomas,Baker,e8f6ac86478b28d9ff260f354890039e,17APR1999,PREM,5,NW,thomas.baker2@example.com,555-664-0922
C0000003,Richard,Carter,94994914e7f58574ead7ccda59c1224c,17JAN1974,RET,5,W,richard.carter3@example.com,555-659-7317
C0000004,Sandra,Baker,da2e6827fd0ce3fb33a70e381ed14a8e,21AUG1948,CORP,5,NW,sandra.baker4@example.com,555-888-7637
C0000005,Nancy,Williams,f186d57a02036644811fa843f427edad,12APR1977,SMB,1,NE,nancy.williams5@example.com,555-641-7536
C0000006,Betty,Roberts,8874781eb973b73895628398d83f2d2d,26NOV1960,PREM,7,NW,betty.roberts6@example.com,555-884-4798
C0000007,Susan,Robinson,a7b2f2f81f1b3470b5020c1731d0aaa0,25JAN1992,RET,6,SE,susan.robinson7@example.com,555-568-8884
C0000008,Edward,Scott,f324ba7a1e67e0420f0666ea95ee4cc2,06FEB2000,SMB,4,MW,edward.scott8@example.com,555-603-7214
C0000009,Daniel,Harris,3e17a6a3bb63589e1a6e7d9e7bc8d361,26MAY1989,PREM,3,MW,daniel.harris9@example.com,555-577-2461
C0000010,Margaret,Robinson,ac72b283ffe227251afdae6f507e0846,25DEC1991,SMB,3,SE,margaret.robinson10@example.com,555-444-2603
C0000011,Jessica,Jackson,fb942c61a01179e4e75211dff91684d8,15JUL1969,SMB,2,SW,jessica.jackson11@example.com,555-491-8578
C0000012,Betty,Mitchell,e9845a2b59067aed47b5f58b0a8b0e6c,03MAR1948,RET,1,W,betty.mitchell12@example.com,555-735-9301
C0000013,Sandra,Lee,29551d935586cf53113411fa04703c36,12JUN1998,PREM,5,SE,sandra.lee13@example.com,555-551-6070
C0000014,Kevin,Green,22c3f27432cc23a0b7f4f37b04758273,21AUG1969,CORP,3,NE,kevin.green14@example.com,555-275-0035
C0000015,Kenneth,Lopez,2e5a90568650a5e65b5917ae5e65040d,07JAN1959,RET,3,MW,kenneth.lopez15@example.com,555-248-1436
C0000016,Lisa,Green,dccc4b704ecbcdf7e69b29a45766cbc2,23DEC1951,RET,2,W,lisa.green16@example.com,555-707-9784
C0000017,Thomas,Brown,23b4f7677e20fe05aa25c23574056871,17JUL1984,PREM,3,SE,thomas.brown17@example.com,555-648-7046
C0000018,Kevin,Taylor,12452250d84031343ce2bae2d50a9264,22JAN1976,RET,1,MW,kevin.taylor18@example.com,555-489-7815
C0000019,Michael,Harris,5937cc5b0d8f454d843e6afea09d6d4a,22JAN1948,PB,3,NW,michael.harris19@example.com,555-245-0881
C0000020,Mary,Walker,d73f57565c3246a520ec1dd8a8004115,10MAY1988,RET,2,MW,mary.walker20@example.com,555-889-0336
C0000021,Sandra,Taylor,ae3758d2d69a7f5f381e66ff1d8b6089,15FEB1963,RET,6,SE,sandra.taylor21@example.com,555-243-0463
C0000022,Thomas,Johnson,11ac15f4bb846c9078d70afb49aef2f6,13JAN1951,RET,1,SE,thomas.johnson22@example.com,555-783-3140
C0000023,Mark,Hernandez,61f56f85e0bbc755ffbf7d42499bbcfa,28DEC1992,RET,2,NE,mark.hernandez23@example.com,555-568-9429
C0000024,Sandra,Hall,d5c7be7028f8dbc9c64ceb9a6635ce88,11SEP1968,RET,6,W,sandra.hall24@example.com,555-694-4172
C0000025,Daniel,Smith,8036bd2814280b5800aabf8969c5b262,03APR1999,RET,4,MW,daniel.smith25@example.com,555-625-4072
C0000026,Betty,Green,2b6fff4c29a3cfff753bccd9a060967a,26APR1983,RET,2,NW,betty.green26@example.com,555-783-1723
C0000027,Ronald,Hernandez,53232eb3a2a2f7c364268f9822ed4b01,05MAY1973,PREM,4,SE,ronald.hernandez27@example.com,555-531-4835
C0000028,James,Adams,6a6de838879908a58be8489f706bbde2,13DEC2002,PREM,5,NW,james.adams28@example.com,555-424-1770
C0000029,Sarah,Young,d98562086601522393faf0f4265cc468,02AUG2000,PB,4,NW,sarah.young29@example.com,555-232-6035
C0000030,Robert,Campbell,66972497f4eef7bfa0d96fd6394f658e,25NOV1955,RET,2,NE,robert.campbell30@example.com,555-462-9450
C0000031,Jennifer,Miller,5cf4ff814b2860356166f08d7d277e62,01JAN2003,COMM,5,W,jennifer.miller31@example.com,555-779-3143
C0000032,Richard,Sanchez,97b2da91c1ba71cabd6f3dcaa113065e,18OCT1952,CORP,1,NW,richard.sanchez32@example.com,555-498-6743
C0000033,Anthony,Rodriguez,a8b397b18f330afaa1c158e98514f89e,01JAN2001,PREM,2,SW,anthony.rodriguez33@example.com,555-634-3181
C0000034,Susan,Carter,429c6f6789fae01f7208a1421bffc898,16JUN1961,RET,4,SE,susan.carter34@example.com,555-325-2865
C0000035,Margaret,Martinez,878f51193b1e978dab8e3588436bc52b,29NOV1962,RET,4,SE,margaret.martinez35@example.com,555-302-1411
C0000036,John,Flores,649c40151e00b41609d3283f98723c91,26JAN1969,RET,6,SE,john.flores36@example.com,555-479-8366
C0000037,Anthony,Scott,c1ab2614277d61049d8532c711b3141b,15AUG1949,SMB,4,NE,anthony.scott37@example.com,555-239-2287
C0000038,Barbara,Johnson,9f414f0826f074813effe875321bfb27,17SEP1978,SMB,4,NW,barbara.johnson38@example.com,555-247-5033
C0000039,Emily,Nguyen,f36d6d526ebd296e888bc6a9b3b5a4f1,11FEB1982,RET,4,SW,emily.nguyen39@example.com,555-239-7096
C0000040,Thomas,Lee,7bd044d3fb23d60b8306595f39c10c5f,14NOV1968,PB,7,W,thomas.lee40@example.com,555-674-9846
C0000041,Amanda,Green,606d982e9a3e278be6dac06cd653d94e,13OCT1992,RET,2,SE,amanda.green41@example.com,555-577-8060
C0000042,Deborah,Wilson,e5b23171e4efcb800e22a4a34f8e807a,12JUN1963,RET,3,NW,deborah.wilson42@example.com,555-667-9918
C0000043,Daniel,Jackson,f9971471ea41294c9fbde5fb44f3437e,28OCT1998,RET,5,NW,daniel.jackson43@example.com,555-849-6759
C0000044,Dorothy,Garcia,e3c590c1936d051cc4e9f5d58b207f83,22MAR1966,RET,4,NW,dorothy.garcia44@example.com,555-483-5338
C0000045,Betty,Nelson,7218efa30c018215f403c7ec7f0c2249,22APR1970,SMB,1,W,betty.nelson45@example.com,555-722-9767
C0000046,Jessica,Harris,b4f50eac3f13acbc3338cc7d6eb40fb4,02JUL1992,RET,2,SW,jessica.harris46@example.com,555-643-6767
C0000047,David,King,8ca18c9a58b301141d020d14d5828628,18OCT1994,RET,3,NW,david.king47@example.com,555-819-0286
C0000048,Jennifer,White,996b8e65a8f46ef23f701fee1762b504,12JAN1996,PREM,4,W,jennifer.white48@example.com,555-369-0125
C0000049,Kenneth,Taylor,7ab5ccc5aeb8be57b8b34af0b01756b4,21SEP1984,RET,2,NE,kenneth.taylor49@example.com,555-420-9995
C0000050,Michael,Jackson,5520c0a09a808bcf06982a1a9addc5ae,14NOV1959,RET,5,SE,michael.jackson50@example.com,555-821-6499
C0000051,Dorothy,King,82703eac8ad6410dc07d11e241f5d61c,26NOV1967,PB,3,NE,dorothy.king51@example.com,555-237-0285
C0000052,Mark,Moore,ff14cbe76d770da1d0c836451c59f2eb,12FEB1993,PB,1,MW,mark.moore52@example.com,555-548-5764
C0000053,Jessica,Ramirez,a58971c1ead1b1fff0aafd80cc695443,28JUN1988,PB,,NE,jessica.ramirez53@example.com,555-636-1821
C0000054,David,Brown,9f79f368aeeb4e50b7ae4250c7393583,13NOV1979,RET,3,SE,david.brown54@example.com,555-948-7302
C0000055,Robert,Adams,393cb6696e8ee497a6e47b40d8646603,19DEC1994,PREM,2,MW,robert.adams55@example.com,555-816-3419
C0000056,Andrew,Thomas,07834bad144c84ab1d34063d24269a3c,05JAN1962,PREM,1,SW,andrew.thomas56@example.com,555-589-1622
C0000057,Jennifer,White,3e4cfe10e1ce77ea7f6daa2dd09c1f57,13AUG1960,PREM,2,NE,jennifer.white57@example.com,555-877-2801
C0000058,Sarah,Torres,6ab0a327656eb880a8997065ff9291e9,02OCT1947,PREM,1,W,sarah.torres58@example.com,555-462-2723
C0000059,Kenneth,Allen,2fe6082a382f34447770d1ec550e31dc,20OCT1981,PB,,SE,kenneth.allen59@example.com,555-762-1983
C0000060,Patricia,Nelson,ffd144de47741e4d3ecc9ad7bbc38326,01APR1968,PREM,6,SW,patricia.nelson60@example.com,555-774-4416
C0000061,Sandra,Garcia,8fbd1d33e7990813e456171979b3afc7,28MAR1999,RET,1,SW,sandra.garcia61@example.com,555-579-4315
C0000062,James,Hill,7714283701187c87dcec412ccf6a1663,30JUL1946,RET,3,SW,james.hill62@example.com,555-500-8644
C0000063,Deborah,White,6d175f1a9adbb7b1b8e401e1185b1f5b,28OCT1982,RET,1,NW,deborah.white63@example.com,555-946-8539
C0000064,Nancy,Walker,82bee5063d14de673e86f6b144d384a6,09OCT1945,RET,3,MW,nancy.walker64@example.com,555-282-8909
C0000065,Daniel,Lopez,49230120b899ac51a30875d3001f4464,27FEB1955,RET,3,SE,daniel.lopez65@example.com,555-359-6567
C0000066,Richard,Davis,8c23368ae2659d17640e48d0ca19d9e7,24NOV1949,RET,4,SE,richard.davis66@example.com,555-825-7679
C0000067,Emily,Ramirez,e982e5c837d5e34597f012db65e9e151,30JAN1948,RET,3,SW,emily.ramirez67@example.com,555-218-7871
